022,R,#,#,"a,b",z
035,R,#,#,a,z
036,R,#,#,"a(2),b(2),c(2),d,e,g,","f,q,t,u,z,m(3),n,o,p,r,2"
040,R,#,#,a,z
071,R,0-6,0-1,"a,b,c,d,z",null
072,R,#,0-2,"a,b,c,d",z
073,R,#,0-2,"a,b,c,d",z
100,NR[M],#,#,a(36),null
101,NR[M],0-2,#,g (3),"a-f,h-j(3 each)"
102,NR,#,#,null,"a,b,c,2"
105,NR,#,#,a(13),null
106,NR,#,#,a(1),null
110,NR,#,#,a(11),null
115,R,#,#,"a(20),b(15)",null
116,R,#,#,a(17),null
117,R,#,#,a(9),null
120,NR[M],#,#,a(13),null
121,NR,#,#,"a(9),b(8)",null
122,R,0-2,#,null,a(5-11)
123,R[M],0-4,#,"b,c,h","a(1)[M],d(8),e(8),f(8),g(8),i(8),j(8),k(6),m(6),n(4),o(4),p(3)"
124,NR,#,#,a,b-g
125,NR,#,#,"a(2),b(2),c",null
126,NR,#,#,b(3),a(15)
127,NR,#,#,a,"a(3),b(2)(obs),"
128,R,#,#,d,"c(2)(obs),"
130,R,#,#,null,a(11)
131,NR,#,#,null,"a(2),b(3),c(2),d(2),e(2),f(2),g(2),h(4),i(4),j(2),k(4),l(4)"
135,R,#,#,a (13),null
140,NR,#,#,a (28),null
141,R,#,#,"a(8),b(8),c(1),d(3),e(6),f(3),5[M]",null
145,R,0-1,"#,1",a(1),"b(8),c(8),d(8),e(4),f(4)"
200,NR[M],0-1,#,v,"a [M],b-i,z,5"
205,R,#,#,a,"b,d,fg"
206,R[M],#0,#,"a,c-f",B
207,NR,#,0-1,null,"a,z(7)"
208,NR,#,#,a,D
210,R,"#,0-1","#,1",null,a-h
211,NR,#,#,a(8),null
215,R,#,#,c,Ade
225,R,0-2,#,a,"def,hi,v,x,z"
230,R[M],#,#,a,null
300,R,#,#,a,null
301,R,#,#,a,null
302,R,#,#,a,null
303,R,#,#,a,null
304,R,#,#,a,null
305,R,#,#,a,null
306,R,#,#,a,null
307,R,#,#,a,null
308,R,#,#,a,null
310,R,#,#,a,null
311,R,#,#,a,null
312,R,#,#,a,null
313,R,#,#,a,null
314,R,#,#,a,null
315,R,#,#,a,null
316,R,#,#,"a,5[M]",U
317,R,#,#,"a,5[M]",U
318,R,#,#,"a,5[M]","b-f,h-l,n-p,r,u"
320,R,#,#,a,U
321,R,"#,0-1",#,"abc,u,x,5,6",null
322,NR,#,#,a,null
323,R,#,#,a,null
324,NR,#,#,a,null
325,R,"#,1",#,a,null
326,R,#,#,ab,null
327,R,"#,0,1","#,1",null,"a-i,p,u,z"
328,R,#,"#,0,1","a-e,t",Z
330,R,#,#,a,null
332,R,#,#,a,null
333,R,#,#,a,null
334,R,#,#,a-d,null
336,R,#,#,a,null
337,R,#,#,"a,",U
345,NR,#,#,null,"a-d,"
4-- embedded fields technique,null,null,null,null,null
410,R,#,"0,1",1 (numeral one),null
411,R,#,"0,1",1,null
412,R,#,"0,1",1,null
413,R,#,"0,1",1,null
421,R,#,"0,1",1,null
422,R,#,"0,1",1,null
423,R,#,"0,1",1,null
424,R,#,"0,1",1,null
425,R,#,"0,1",1,null
430,R,#,"0,1",1,null
431,R,#,"0,1",1,null
432,R,#,"0,1",1,null
433,R,#,"0,1",1,null
434,R,#,"0,1",1,null
435,R,#,"0,1",1,null
436,R,#,"0,1",1,null
437,R,#,"0,1",1,null
440,R,#,"0,1",1,null
441,R,#,"0,1",1,null
442,R,#,"0,1",1,null
443,R,#,0-1,1,null
444,R,#,"0,1",1,null
445,R,#,"0,1",1,null
446,R,#,"0,1",1,null
447,R,#,"0,1",1,null
448,R,#,"0,1",1,null
451,R,#,0-1,1,null
452,R,#,"0,1",1,null
453,R,#,"0,1",1,null
454,R,#,"0,1",1,null
455,R,#,"0,1",1,null
456,R,#,"0,1",1,null
456,R,#,"0,1",1,null
461,R,#,"0,1",1,null
462,R,#,"0,1",1,null
463,R,#,"0,1",1,null
464,R,#,"0,1",1,null
470,R,#,"0,1",1,null
481,R,#,"0,1",1,null
482,R,#,"0,1",1,null
488,R,#,"0,1",1,null
4-- standard subfields technique,null,null,null,null,null
As above,As above,As above,As above,"a,c-e,p,s-v,x-z,0,5","f-i,l,n,o,s,t,3"
500,R,"0,1","0,1","a,k,m,q,uvw,2,3","b,h-j,l,n,rs,xyz"
501,R,0-2,#,"a,e,k,m,u,w,2,3","b,j,rs,xyz"
503,R,"0,1",#,"ab,e-i,k-o","d,j"
510,R,"0,1",#,"a,j,n,z","e,hi"
511,R,"0,1",#,a,null
512,R,"0,1",#,a,E
513,R,"0,1",#,a,"e,hi"
514,R,"0,1",#,a,E
515,R,"0,1",#,a,null
516,R,"0,1",#,a,E
517,R,"0,1",#,a,e
518,R,"0,1",#,a,null
520,R,"0,1",#,"a,hij,n,x",E
530,R,"0,1",#,"ab,j,v",null
531,R,"0,1",#,"ab,v",null
532,R,"0,1",#,"a,z",null
540,R,"0,1",#,"a,hi",E
541,R,"0,1",#,"a,e,h,i,z",null
545,R,"0,1",#,a,null
560,R,"0,1",#,"a,5",E
600,R,#,"0,1","ab,d,f,g,p,2","c,j,xyz,3"
601,R,"0,1","0,2","a,d-h,2","bc,j,xyz,3"
602,R,#,#,"a,f,2","j,xyz,3"
604,R,#,#,null,1 (numeral 1)
605,R,#,#,"a,klm,q,u,w,2","hij,n,rs,xyz,3"
606,R,"0,2,#",#,"a,2","j,xyz,3"
607,R,#,#,"a,2","j,xyz,3"
608,R,#,#,"a,2,5","j,xyz,3"
610,R,0-2,#,null,a
615,R,#,#,"a,2","m,n,x,3"
616,R,#,#,"a,f,2,3","c,j,xyz"
617,R,#,#,"b,d,ghi,2,3","a,c,ef,k,mno"
620,R,"#,0-5","#,0-1","ab,d,ghi,2,3","c,ef,k,mno"
621,R,"#,0-5","#,0-1","ab,efghi,2,3,5","c,d,k,mno,6"
660,R,#,#,a(7),null
661,R,#,#,a(4),null
670,R,#,#,"b,c,z",e
675,R,#,#,"a,v,z,3",null
676,R,#,#,"a,v,z,3",null
680,R,#,#,"a,b,3",null
686,R,#,#,"v,2,3",abc
700,NR,#,0-1,"ab,d,fg,p,3","c,4"
701,R,#,0-1,"ab,d,fg,p,3","c,4"
702,R,#,0-1,"ab,d,fg,p,3,5","c,4"
710,NR,0-1,0-2,"a,defgh,p,3","bc,4"
711,R,0-1,0-2,"a,defgh,p,3","bc,4"
712,R,0-1,0-2,"a,defgh,p,3,5","bc,4"
716,R,#,#,"a,f,3",c
720,NR,#,#,"a,f,3",4
721,R,#,#,"a,f,3",4
722,R,#,#,"a,f,3,5",4
730,R,0-2,#,a,4
740,NR,#,1-2,"a,e,t,3","bc,f,i,l,n"
741,R,#,1-2,"a,e,t,3","bc,f,i,l,n"
742,R,#,1-2,"a,e,t,3","bc,f,i,l,n"
801,R[M],#,0-3,"abc,h,2",g
802,NR,#,#,a,null
830,R,#,#,a,null
850,R,#,#,null,a
852,R,"#,0-5","#,0-2","a,c,d(2or3),e,g,j,k,l,m,n,p,t","b,x,y,2"
856,R,"#,0-4,7",#,"e,h,j-l,n-p,q,r,u,y","a-d,f,i,m,s,t,v,w,x,z,2"
886,R,0-2,#,"a,b,2",any other

